Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
GRN Grid,GRN,$0.000159,-0.73%,$0.02,$159 K,,0.01x,,"Jun 25, 2022"
Genopets KI,KI,$0.0014,-1.20%,$1.56 K,$83.34 K,,0.01x,$2.01 M,"Jun 23, 2022"
Moonwell,WELL,$0.01253,4.22%,$501.25 K,$62.65 M,$34.1 M,0.48x,$23 M,"Jun 22, 2022"
Walken,WLKN,$0.00181,-3.57%,$1.73 M,$3.62 M,$1.5 M,0.11x,$5.23 M,"Jun 20, 2022"
MobiPad,MBP,$0.000757,-5.02%,$359.12,$75.7 K,,0.03x,$85.59 K,"Jun 19, 2022"
JPY Coin,JPYC,$0.00664,-1.38%,$13.39 K,$664 K,,0.92x,$4.4 M,"Jun 19, 2022"
Burrow,BRRR,$0.0054,-2.76%,$9.01 K,$5.36 M,,0.11x,$5 M,"Jun 19, 2022"
Fight Of The Ages,FOTA,$0.000035,0.51%,$22.92,$490,$244.12,0.01x,$1.41 M,"Jun 16, 2022"
Aura Finance,AURA,$0.5788,1.72%,$2.46 K,$28.81 M,$31.15 M,0.92x,,"Jun 15, 2022"
Oceanland,OLAND,$0.000148,9.46%,$55.4 K,$139.2 K,,0.01x,$1.2 M,"Jun 15, 2022"
Hop Protocol,HOP,$0.02315,4.90%,$41.82 K,$22.69 M,,1.45x,$1 M,"Jun 9, 2022"
Choise.com,CHO,$0.01898,-6.49%,$170.32 K,$19.15 M,$5.13 M,0.13x,$1.43 M,"Jun 8, 2022"
WeBuy,WE,$0.052,1.76%,$64.56 K,$130 M,,0.1x,$8.69 M,"Jun 3, 2022"
Optimism,OP,$1.388,0.99%,$115.31 M,$5.95 B,$1.65 B,0.73x,$268.5 M,"May 30, 2022"
XREATORS,ORT,$0.00313,1.29%,$2.93 K,$29.73 K,,0.01x,$100 K,"May 25, 2022"
Konnect,KCT,$0.00214,4.17%,$109.52 K,$21.3 M,,0.21x,$200 K,"May 25, 2022"
Bikerush,BRT,$0.000029,-0.48%,$3.54 K,$145 K,,0.01x,$8.14 M,"May 24, 2022"
Pikaster,MLS,$0.00195,-5.09%,$2.75 K,$390 K,,0.02x,$230 K,"May 23, 2022"
BH Network,BHAT,$0.00505,6.30%,$93.93 K,$1.04 M,$1.04 M,0.07x,$4 M,"May 20, 2022"
MBD Financials,MBD,$0.00006,-2.74%,$45.57 K,$2.4 M,$1.35 M,0.01x,$10 M,"May 18, 2022"
Bolide,BLID,$0.00138,-3.09%,$16.77,$13.65 M,,0.23x,$3 M,"May 13, 2022"
Wonderman Nation,WNDR,$0.01607,-2.61%,$475.61,$8.04 M,$228.44 K,0.16x,$6.93 M,"May 8, 2022"
Colizeum,ZEUM,$0.000852,-2.83%,$1.72 K,$852 K,,0.01x,$9.05 M,"May 7, 2022"
Creo Engine,CREO,$0.0168,-3.15%,$1.42 M,$13.25 M,$4.88 M,0.67x,$2.86 M,"May 5, 2022"
Snail Trail,SLIME,$0.00111,-4.12%,$6.17,$333 K,,0.02x,$3.96 M,"May 4, 2022"
Project Galaxy,GAL,$2.451,4.96%,$13.01 K,$489.8 M,$308.14 M,1.63x,$25.4 M,"May 4, 2022"
Aurigami,PLY,$0.000082,2.44%,$153.25,$820 K,$329.92 K,0.02x,$12.05 M,"May 4, 2022"
Undead Blocks,UNDEAD,$0.07649,-3.06%,$382.43,$38.24 M,,0.15x,$1.8 M,"May 4, 2022"
Secretum,SER,$0.00104,-3.28%,$30.06 K,$104 K,,0.01x,$5.4 M,"May 1, 2022"
Unite (Taki Games),TAKI,$0.01123,-0.88%,$989.31 K,$33.72 M,,0.28x,$6.91 M,"Apr 28, 2022"
Legion Network,LGX,$0.00148,1.35%,$15.95 K,$1.2 M,,0.02x,$6.79 M,"Apr 28, 2022"
OkLetsPlay,OKLP,$0.000548,0.44%,$13.41,$548 K,,0.03x,$1.6 M,"Apr 28, 2022"
Evmos,EVMOS,$0.0279,-0.23%,$47.7 K,$21.88 M,$15.57 M,0.01x,$27 M,"Apr 27, 2022"
Primate,PRIMATE,$0.00551,0.16%,$27.11,$11.33 M,,0.08x,,"Apr 26, 2022"
ApeX,APEX,$1.777,-2.52%,$33.49 M,$1.07 B,$84.4 M,35.44x,$500 K,"Apr 26, 2022"
BreederDAO,BREED,$0.01804,0.47%,$252.91 K,$16.19 M,$10.64 M,0.01x,$12.75 M,"Apr 25, 2022"
Elumia,ELU,$0.00471,-12.25%,$6.2 M,$4.71 M,$2.5 M,0.09x,$7.75 M,"Apr 25, 2022"
Step.app,FITFI,$0.00341,3.65%,$2.38 M,$15.64 M,$8.63 M,0.7x,$3.43 M,"Apr 25, 2022"
Plutonian DAO,PLD,$0.00352,2.55%,$143.36,$1.23 M,,0.04x,$1.87 M,"Apr 25, 2022"
Hawksight,HAWK,$0.000109,0.21%,$1.84 K,$545 K,$112.48 K,0.01x,$4.56 M,"Apr 22, 2022"
MetaShooter,MHUNT,$0.00348,42.18%,$28.73 K,$329.65 K,,0.02x,$8.04 M,"Apr 20, 2022"
Winerz,WNZ,$0.000267,-19.37%,$18.42 K,$266 K,,0.01x,$5.86 M,"Apr 18, 2022"
Polysports,PS1,$0.00117,7.92%,$10.31,$1.16 M,,0.05x,,"Apr 17, 2022"
Rayn,AKTIO,$0.1872,-0.28%,$478.47 K,$10.66 M,,0.16x,,"Apr 13, 2022"
Nym,NYM,$0.09687,-1.81%,$639 K,$97.13 M,$77.2 M,0.39x,$64.17 M,"Apr 13, 2022"
Smart Reward Token,SRT,$0.000021,-0.38%,$718.63 K,$255 M,,0.01x,$150 K,"Apr 13, 2022"
Blueshift,,$0.00705,-1.14%,$7.63 K,$694 K,$253.73 K,0.03x,$250 K,"Apr 13, 2022"
Blin Metaverse,BLIN,$0.002,6.20%,$8.68,$79.8 M,,0.01x,$100 K,"Apr 13, 2022"
Liqwid Finance,LQ,$0.7196,-0.61%,$166.24 K,$15.14 M,,0.01x,$2.7 M,"Apr 10, 2022"
Giddy,,$0.00219,1.21%,$2.44 K,$2.18 M,,0.02x,$6.9 M,"Apr 9, 2022"
Drunk Robots,METAL,$0.01621,1.96%,$28.16 K,$44.6 M,$11.66 M,1.62x,$15.72 M,"Apr 9, 2022"
EdgeSwap,EGS,$0.000502,-28.67%,$8.89 K,$51.08 K,,0.03x,$220 K,"Apr 9, 2022"
UpOnly,UPO,$0.04114,-3.48%,$558.5 K,$6.59 M,,0.26x,$7.56 M,"Apr 9, 2022"
Geojam,JAM,$0.00112,1.88%,$113.56 K,$9.04 M,$6.94 M,0.23x,$5.62 M,"Apr 8, 2022"
Enrex,ENRX,$0.00002,2.55%,$31.84,$73 K,,0.01x,$7.68 M,"Apr 8, 2022"
Lost World,LOST,$0.00183,-7.28%,$598.23,$90.26 K,$25.69 K,0.01x,$2.41 M,"Apr 7, 2022"
Altered State Token,ASTO,$0.01165,-4.92%,$6.46 M,$27.82 M,,0.02x,$11 M,"Apr 7, 2022"
SundaeSwap,SUNDAE,$0.00544,-2.96%,$12.87 K,$10 M,,1.09x,$1.3 M,"Apr 7, 2022"
AdaSwap,ASW,$0.00000641,2.29%,$3.07 K,$64 K,,0.01x,$3.32 M,"Apr 4, 2022"
Nomad Exiles,PRIDE,$0.00118,0.81%,$2.75 K,$118 K,,0.01x,$4.06 M,"Apr 2, 2022"
IotexPad,TEX,$0.00193,-0.21%,$4.37,$193 K,,0.02x,$2.15 M,"Apr 2, 2022"
Animal Concerts,ANML,$0.000135,-3.91%,$31.07 K,$1.69 M,,0.03x,$11.34 M,"Mar 30, 2022"
Blockchain Brawlers,BRWL,$0.00571,-1.84%,$1.37 M,$5.74 M,$5.71 M,0.05x,,"Mar 30, 2022"
Mecha Morphing,MMC,$0.00417,4.01%,$9.49 K,$40 M,,0.01x,$4.9 M,"Mar 30, 2022"
Voltage Finance,VOLT,$0.00009,0.56%,$223.91 K,$60 M,,0.02x,$5.12 M,"Mar 30, 2022"
Gamium,GMM,$0.00012,-7.12%,$46.25 K,$5.89 M,$5.78 M,0.4x,$3.61 M,"Mar 29, 2022"
Supreme Finance,HYPE,$0.000013,-0.71%,$419.98,$65 K,$19.5 K,0.01x,$2 M,"Mar 29, 2022"
Karmaverse,KNOT,$0.00268,0.22%,$440.5,$105 M,,0.01x,$9.18 M,"Mar 29, 2022"
Gami,GAMI,$0.00228,-3.78%,$48.01,$3.42 M,,0.02x,$258.75 K,"Mar 28, 2022"
CowSwap,COW,$0.2025,2.28%,$118.16 K,$204.2 M,,0.88x,$23 M,"Mar 28, 2022"
Itheum,ITHEUM,$0.00414,-1.19%,$63.2 K,$4.14 M,,0.1x,$7.5 M,"Mar 27, 2022"
Lumerin,LMR,$0.02169,0.01%,$596.13 K,$21.75 M,$12.58 M,0.05x,$20.45 M,"Mar 27, 2022"
Ratio Finance,RATIO,$0.00196,-6.54%,$345,$196 K,,0.01x,$8.4 M,"Mar 25, 2022"
Paladin,PAL,$0.0664,-2.33%,$150.75,$3.32 M,,0.21x,$2.55 M,"Mar 24, 2022"
H2O Dao,H2O,$0.4241,-0.76%,$11.91 M,$424.6 M,$349.88 M,42.46x,$25 K,"Mar 24, 2022"
Adroverse,ADR,$0.000018,-21.99%,$19.06,$18 K,,0.01x,$3.05 M,"Mar 24, 2022"
Adalend,ADAL,$0.000253,-20.27%,$17.62,$11.34 K,,0.01x,$7.44 M,"Mar 24, 2022"
Wizardia,WZRD,$0.00189,3.90%,$3.53 K,$567 K,$239.86 K,0.02x,$5.94 M,"Mar 24, 2022"
ritestream,RITE,$0.01301,7.32%,$233.93 K,$13.01 M,$3.8 M,0.32x,$3.5 M,"Mar 23, 2022"
Solcial,SLCL,$0.000618,0.81%,$2.07,$618 K,,0.02x,$3.05 M,"Mar 23, 2022"
Metawear,WEAR,$0.000266,-0.55%,$2.84 K,$1.33 M,,0.05x,$2.73 M,"Mar 22, 2022"
Dogami,DOGA,$0.00441,1.89%,$55.77 K,$4.42 M,$2.21 M,0.06x,$24.85 M,"Mar 22, 2022"
ADADao,ADAO,$0.00117,-4.78%,$642,$585 K,,0.03x,$3.72 M,"Mar 21, 2022"
KlayCity ORB,ORB,$0.01853,-12.02%,$300.11 K,$18.39 M,$5.49 M,0.53x,$4.1 M,"Mar 21, 2022"
Token Traxx Music Ltd,TRAXX,$0.00237,-1.75%,$153.34 K,$822.5 K,$106.28 K,0.02x,$9.92 M,"Mar 21, 2022"
XPLA,XPLA,$0.1054,-3.70%,$1.46 M,$211.99 M,$69.8 M,0.16x,,"Mar 20, 2022"
Space Misfits,CROWN,$0.00113,0.83%,$83.49,$224 K,,0.01x,$3.56 M,"Mar 19, 2022"
Stargate finance,STG,$0.347,-0.99%,$34.41 M,$346.1 M,$70.91 M,1.39x,$30 M,"Mar 17, 2022"
Melos Studio,MELOS,$0.00203,1.22%,$386.01 K,$1.99 M,,0.04x,$2 M,"Mar 17, 2022"
Tribal Credit,TRIBL,$1.077,-12.52%,$5.36 K,$1.07 B,,2.69x,$414.49 M,"Mar 16, 2022"
APEcoin,APE,$0.6171,3.13%,$29.14 M,$615.6 M,$373.28 M,0.04x,$450 M,"Mar 16, 2022"
HydraDX,HDX,$0.00583,-2.86%,$47.45 K,$25.68 M,$15.38 M,0.51x,$23.1 M,"Mar 15, 2022"
MarsDAO,MDAO,$0.113,-2.98%,$243.08 K,$10.84 M,$7.98 M,0.1x,$10.5 M,"Mar 15, 2022"
CoinBurp,BURP,$0.000356,0.87%,$442.48,$178 K,,0.01x,$6.9 M,"Mar 15, 2022"
Souni,SON,$0.00021,1.64%,$110.13 K,$2.09 M,$531.55 K,0.11x,$3.5 M,"Mar 14, 2022"
DeFiHorse,DFH,$0.000333,0.84%,$364.78,$221.78 K,,0.01x,$6.7 M,"Mar 14, 2022"
Zebec Protocol,ZBCN,$0.01041,-2.29%,$4.03 K,$1.04 B,$52.97 M,0.5x,$30.6 M,"Mar 14, 2022"
Stader Labs,SD,$0.5117,-4.55%,$729.53 K,$61.37 M,$21.45 M,0.11x,$39.99 M,"Mar 14, 2022"
Duet Protocol,DUET,$0.000406,-1.07%,$60.28,$169.68 K,,0.01x,$7.01 M,"Mar 10, 2022"
IndiGG,INDI,$0.0012,40.99%,$1.69 K,$1.36 M,,0.01x,$8.8 M,"Mar 10, 2022"
Happy Land,HPL,$0.000095,-0.83%,$290.1,$38.4 K,,0.01x,$3.27 M,"Mar 10, 2022"
Paragen,RGEN,$0.00509,-2.82%,$593.57,$1.02 M,,0.06x,$3.52 M,"Mar 10, 2022"
Bullieverse,BULL,$0.00272,6.63%,$210.92 K,$2.7 M,,0.08x,$4.92 M,"Mar 9, 2022"
Dexalot,ALOT,$0.5381,0.89%,$1.57 K,$53.58 M,,0.9x,$6.75 M,"Mar 9, 2022"
Duckie Land,MMETA,$0.00854,-0.95%,$94.01,$853 K,,0.02x,$4.67 M,"Mar 8, 2022"
Shade Protocol,SHD,$1.18,2.61%,$81.77 K,$11.9 M,,0.18x,$5 M,"Mar 8, 2022"
Nest Arcade,NESTA,$0.000026,-1.96%,$6.38,$26 K,,0.01x,$2.72 M,"Mar 8, 2022"
Stepn,"GST, GMT",$0.1119,2.05%,$9.09 M,$592.79 M,$264.56 M,11.18x,$9.2 M,"Mar 8, 2022"
Launchblock.com,LBP,$0.000301,11.39%,$86.87 K,$3 M,,0.02x,$10.93 M,"Mar 8, 2022"
DeFiato,DFIAT,$0.000952,-2.22%,$160.76,$237.75 K,,0.01x,$4.7 M,"Mar 7, 2022"
Mars Protocol,MARS,$0.03598,-5.09%,$11.75 K,$36.01 M,,0.05x,,"Mar 7, 2022"
Metaverse.Network Pioneer,NEER,$0.03122,-1.00%,$70.42 K,$3.04 M,$1.18 M,0.04x,$120 K,"Mar 5, 2022"
Okratech,ORT,$0.0031,1.13%,$351.61 K,$2.71 M,$1.08 M,0.06x,$2.83 M,"Mar 4, 2022"
Fantom Maker,FAME,$0.000118,8.93%,$790.92,$24 M,,0.01x,$2.1 M,"Mar 4, 2022"
Outer Ring,GQ,$0.000293,4.25%,$1.8 M,$1.76 M,$1.74 M,0.07x,$7.62 M,"Mar 2, 2022"
Era7,ERA,$0.000325,2.46%,$59.68,$143.76 K,,0.01x,$1.8 M,"Mar 1, 2022"
Orbler,ORBR,$0.1977,-0.73%,$58.73 K,$395 M,$200.78 M,0.06x,$122.22 K,"Mar 1, 2022"
JPEG&#8217;d,JPEG,$0.000389,-2.14%,$28.62 K,$27 M,,0.14x,,"Feb 28, 2022"
Metan Evolutions,METAN,$0.00513,11.68%,$2.76 K,$15 M,,0.03x,$2.6 M,"Feb 28, 2022"
Rainbow Token,RBW,$0.00744,1.55%,$42.65,$7.45 M,$1.46 M,0.01x,$45.59 M,"Feb 28, 2022"
JPEG'd,JPEG,$0.000389,-2.14%,$28.62 K,$27 M,,0.12x,$69 M,"Feb 28, 2022"
Kyberdyne,KBD,$0.000358,-4.21%,$24.57 K,$22.5 M,,0.01x,$3.52 M,"Feb 27, 2022"
Faith Tribe,FRTB,$0.00412,1.37%,$213.79 K,$20.55 M,,0.41x,$350 K,"Feb 24, 2022"
Qitchain Network,QTC,$0.02818,-0.67%,$4.07 K,$2.96 M,,0.01x,$90.48 K,"Feb 24, 2022"
MetaRim,RIM,$0.000019,0.10%,$0.01,$40 M,,0.01x,$2.11 M,"Feb 24, 2022"
pSTAKE,PSTAKE,$0.07778,-3.13%,$459.84 K,$38.98 M,$37.16 M,0.19x,$20 M,"Feb 23, 2022"
RankerDAO,RANKER,$0.00124,7.73%,$29.13 K,$369 K,,0.02x,$3.44 M,"Feb 23, 2022"
Cloudname,CNAME,$0.000159,2.57%,$1.02 K,$17.33 K,,0.01x,$257.62 K,"Feb 23, 2022"
Tap Fantasy,TAP,$0.000943,2.67%,$167.37 K,$940 K,,0.02x,$5.45 M,"Feb 22, 2022"
Alpine F1,ALPINE,$1.177,4.18%,$20.69 M,$47.24 M,$13.37 M,1.17x,$4 M,"Feb 20, 2022"
Kunci Coin,KUNCI,$0.00376,-2.08%,$19.1 K,$150.4 M,$4.63 M,0.04x,,"Feb 17, 2022"
BBS Network,BBS,$0.02904,37.49%,$3.95 K,$29.08 M,$1.72 M,0.13x,$7.53 M,"Feb 16, 2022"
X2Y2,X2Y2,$0.00508,1.41%,$50.35 K,$2.96 M,,0.01x,,"Feb 15, 2022"
Atlas DEX,ATS,$0.00375,13.19%,$1.67 K,$935 K,,0.03x,$6.47 M,"Feb 15, 2022"
ALEX Lab,,$0.1045,-3.28%,$247.48 K,$63.38 M,$63.38 M,0.74x,$18.3 M,"Feb 15, 2022"
Everdome,DOME,$0.000206,-2.93%,$251.28 K,$18.77 M,$3.91 M,0.17x,$6.5 M,"Feb 14, 2022"
Qmall,QMALL,$0.02096,1.33%,$29.13 K,$2.09 M,$1.48 M,0.63x,$1.85 M,"Feb 14, 2022"
UX Chain (Umee),UMEE,$0.00112,-2.25%,$33.88 K,$13.76 M,$4.96 M,0.02x,$38.3 M,"Feb 14, 2022"
RSS3,,$0.1188,3.80%,$989.05 K,$118.5 M,$117.32 M,0.24x,$49.6 M,"Feb 13, 2022"
Alethea AI,ALI,$0.01087,-9.22%,$1.29 M,$107.51 M,$67.19 M,0.16x,$31.4 M,"Feb 13, 2022"
Zone,ZONE,$0.000626,-2.84%,$11.92 K,$572 K,,0.02x,$3.35 M,"Feb 11, 2022"
MetaGaming Guild,MGG,$0.00123,5.68%,$575.42 K,$1.23 M,,0.01x,$26.78 M,"Feb 10, 2022"
Concordium,CCD,$0.00328,1.66%,$308.62 K,$43.85 M,$32.3 M,0.04x,$51 M,"Feb 9, 2022"
ZKSpace,ZKS,$0.03228,-7.73%,$1.82 M,$19.26 M,$7.21 M,1.29x,$1.68 M,"Feb 9, 2022"
Altair,AIR,$0.01622,-4.91%,$8.76 K,$50.5 M,,0.16x,$4.68 M,"Feb 9, 2022"
Heroes of NFT,HON,$0.00803,0.17%,$4.83 K,$1.6 M,,0.08x,$2.95 M,"Feb 8, 2022"
KingdomX,KT,$0.00132,-0.15%,$112.31 K,$1.32 M,,0.11x,$2.46 M,"Feb 8, 2022"
Sheesha Finance Polygon,MSHEESHA,$0.00125,-16.95%,$8.54 K,$1.11 M,,0.06x,$3.4 M,"Feb 6, 2022"
Nexus Dubai,NXD,$0.000039,-3.96%,$525.41,$1.95 M,,0.01x,,"Feb 6, 2022"
Rubix,RBT,$235.41,-1.14%,$420.66 K,,,1.46x,$100 M,"Feb 6, 2022"
Everscale,EVER,$0.05356,-0.09%,$1.02 M,$113.14 M,$106.34 M,0.18x,,"Feb 3, 2022"
MELD,MELD,$0.01069,7.85%,$1.08 K,$42.56 M,,0.36x,$32 M,"Feb 3, 2022"
Vesta Finance,VSTA,$0.2656,-29.89%,$68.26,$26.57 M,,0.09x,$10.71 M,"Feb 3, 2022"
NuriFootBall,NRFB,$0.00007,-10.52%,$1.64 K,$69.97 K,$14.57 K,0.01x,$121.42 K,"Feb 3, 2022"
Perion,PERC,$0.2761,2.44%,$147.64 K,$27.63 M,$3.69 M,0.23x,$14.9 M,"Feb 1, 2022"
BlokPad,BPAD,$0.000339,-0.27%,$27.78,$2.54 M,,0.27x,$1.59 M,"Feb 1, 2022"
Sommelier,SOMM,$0.02125,-9.30%,$5 K,$10.62 M,,0.02x,$27.5 M,"Feb 1, 2022"
Panther Protocol,ZKP,$0.01046,0.14%,$173.66 K,$3.51 M,,0.02x,$31.8 M,"Jan 31, 2022"
Synesis One,SNS,$0.01499,-6.73%,$1.52 M,$15.08 M,$6.84 M,0.3x,$550 K,"Jan 30, 2022"
Affyn,FYN,$0.01632,3.47%,$78.33 K,$16.3 M,$4.15 M,0.12x,$19.27 M,"Jan 30, 2022"
Unilab,ULAB,$0.00211,-3.02%,$65.09,$211 K,,0.01x,$1.95 M,"Jan 29, 2022"
Jones DAO,JONES,$0.4509,1.76%,$27.48 K,$4.52 M,,0.02x,$29 M,"Jan 29, 2022"
Ambire Wallet,WALLET,$0.01821,0.13%,$696.03 K,$11.79 M,$11.12 M,0.26x,$2.78 M,"Jan 29, 2022"
Trace Network,TRACE,$0.00102,-4.53%,$1.73 K,$102 K,,0.01x,$1.7 M,"Jan 28, 2022"
MetaVisa,MESA,$0.000107,-0.13%,$66.75 K,$80 M,,0.01x,$5.1 M,"Jan 27, 2022"
GensoKishi,MV,$0.01662,0.09%,$676 K,$33.3 M,$5.52 M,0.87x,$2.09 M,"Jan 27, 2022"
Hubble Protocol,HBB,$0.0771,3.23%,$43.06 K,$7.73 M,$5.26 M,0.08x,$21.8 M,"Jan 27, 2022"
Spellfire,SPELLFIRE,$0.000833,19.81%,$105.53 K,$536.96 K,$358.77 K,0.03x,$3.99 M,"Jan 27, 2022"
Ronin,RON,$1.576,1.08%,$8.41 M,$1.57 B,$541.88 M,0.37x,$159 M,"Jan 26, 2022"
Compendium.Fi,CMFI,$0.000866,-1.18%,$153.3,$432.5 K,,0.01x,$2.85 M,"Jan 25, 2022"
Metastrike,MTS,$0.00288,-2.91%,$45.01 K,$1.61 M,,0.06x,$4.26 M,"Jan 25, 2022"
Starly.io,STARLY,$0.000883,-1.67%,$11.01,$80 M,,0.01x,$7.58 M,"Jan 25, 2022"
Mobland,SYNR,$0.000055,5.72%,$34.74,$495 K,,0.01x,,"Jan 24, 2022"
Syn City,SYNR,$0.000055,5.72%,$34.74,$495 K,,0.01x,$25.59 M,"Jan 24, 2022"
Acala Network Crowdloan,ACA,$0.05631,-0.12%,$4.96 M,$61.74 M,$57.51 M,0.03x,,"Jan 24, 2022"
Metafluence,METO,$0.000335,2.61%,$77.59 K,$1.61 M,,0.04x,$5.78 M,"Jan 24, 2022"
Acala Network,ACA,$0.05631,-0.12%,$4.96 M,$61.74 M,$57.51 M,0.05x,$1.46 B,"Jan 24, 2022"
SpaceFalcon,FCON,$0.000133,-5.28%,$18.55 K,$2.55 M,$2.32 M,0.07x,$4.8 M,"Jan 24, 2022"
Lootex,LOOT,$0.01938,-3.21%,$78.26 K,$1.92 M,,0.02x,$9.4 M,"Jan 23, 2022"
Fringe Finance,FRIN,$0.000576,-3.90%,$133.89 K,$587 K,$377.04 K,0.01x,$7.38 M,"Jan 22, 2022"
Iron Bank,IB,$0.4725,-2.37%,$30.8,$3.45 M,,0.01x,,"Jan 22, 2022"
Lockness,LKN,$0.000145,1.09%,$2.07,$102.2 K,,0.01x,$3 M,"Jan 21, 2022"
Bitget,BGB,$0.9224,-1.13%,$24.5 M,$1.84 B,$1.29 B,7.75x,$10 M,"Jan 21, 2022"
Metaxy,MXY,$0.000081,0.28%,$3.9,$121.5 K,,0.01x,$1.95 M,"Jan 20, 2022"
BitTorrent,BTT,$0.00000075,-1.08%,$22.97 M,$742.5 M,$726.18 M,6.25x,$42.26 M,"Jan 20, 2022"
PsyOptions,PSY,$0.00124,10.19%,$3.86 K,$1.24 M,$492.05 K,0.01x,$10.8 M,"Jan 20, 2022"
ParagonsDAO,PDT,$0.1101,1.71%,$7.75 K,$17.73 M,$17.51 M,0.32x,$27.07 M,"Jan 20, 2022"
Verve,verve,$0.000424,-1.06%,$64.5,$105.75 K,,0.42x,$600 K,"Jan 20, 2022"
Savage,SAVG,$0.00221,0.30%,$3.52 K,$2.22 M,,0.13x,$3.14 M,"Jan 20, 2022"
HeroesChained,HEC,$0.01828,-0.08%,$161.02 K,$1.83 M,$911.04 K,0.05x,$4.54 M,"Jan 19, 2022"
Opyn,OSQTH,$115.19,5.47%,$44.02 K,$621.28 K,,0.12x,$9.11 M,"Jan 19, 2022"
League of Kingdoms,LOKA,$0.1388,3.91%,$1.63 M,$29.04 M,$15.95 M,0.87x,$7.1 M,"Jan 19, 2022"
Froyo Games,FROYO,$0.000128,-1.94%,$604.52,$129 K,,0.01x,$5.7 M,"Jan 18, 2022"
Monster Galaxy,GGM,$0.000646,-0.15%,$27.51,$25 M,,0.03x,$2.85 M,"Jan 17, 2022"
GARI Network,GARI,$0.01022,-6.17%,$902.87 K,$10 M,$4.25 M,0.05x,$103.97 M,"Jan 17, 2022"
Astar,ASTR,$0.05973,-0.88%,$28.11 M,$489.28 M,$424.49 M,0.12x,$34.4 M,"Jan 17, 2022"
Nosana,NOS,$1.577,-1.20%,$461.53 K,$158.9 M,$76.01 M,15.78x,$65.71 M,"Jan 17, 2022"
Astar Network Crowdloan,ASTR,$0.05973,-0.88%,$28.11 M,$489.86 M,$424.49 M,0.12x,,"Jan 17, 2022"
GovWorld,GOV,$0.00375,-2.03%,$1.52,$375 K,,0.05x,$2.03 M,"Jan 15, 2022"
Desmos,DSM,$0.00237,1.84%,$139.21,$393.48 K,,0.05x,$60 K,"Jan 14, 2022"
Kingdom Karnage,KKT,$0.000708,-2.86%,$408.67,$705 K,,0.05x,$2.58 M,"Jan 13, 2022"
Starbots,BOT,$0.000306,5.15%,$2.22,$61.2 K,,0.01x,$4 M,"Jan 13, 2022"
Market Making Pro,MMPRO,$0.09371,-0.76%,$108.66 K,$9.36 M,$8.63 M,1.56x,$2.7 M,"Jan 12, 2022"
Bixos,UBXS,$0.09409,-5.13%,$81.19 K,$8.04 M,$5.38 M,0.32x,,"Jan 12, 2022"
Infinity Skies,ISKY,$0.00231,2.12%,$1.06 K,$42.41 K,,0.01x,$4.14 M,"Jan 12, 2022"
Deesse,LOVE,$0.000339,-4.17%,$92.9 K,$6.78 M,,0.68x,$65 K,"Jan 11, 2022"
Revuto,REVU,$0.01185,-1.85%,$128.77 K,$3.32 M,,0.1x,$9.93 M,"Jan 10, 2022"
Gods Unchained,GODS,$0.2039,1.32%,$816.52 K,$101.95 M,$63.41 M,0.85x,$10.32 M,"Jan 10, 2022"
WeWay,WWY,$0.00204,0.20%,$2.81 M,$14.28 M,$2.94 M,0.41x,$2.6 M,"Jan 10, 2022"
Goldfinch Finance,GFI,$2.307,-5.58%,$2.13 M,$264.34 M,$187.7 M,0.1x,$37.7 M,"Jan 10, 2022"
Moonbeam,GLMR,$0.1629,2.21%,$2.74 M,$184.82 M,$145.47 M,0.65x,$31.95 M,"Jan 10, 2022"
Islander,ISA,$0.000019,4.08%,$241.94,$285 K,$10.37 K,0.01x,$1.74 M,"Jan 9, 2022"
LooksRare,LOOKS,$0.03567,3.25%,$758.34 K,$35.66 M,$35.67 M,0.2x,$5.95 M,"Jan 9, 2022"
Solice,SLC,$0.000884,0.62%,$4.37 K,$354.4 K,,0.01x,$60.4 M,"Jan 7, 2022"
Galaxy Fight Club,GCOIN,$0.00406,-1.79%,$2.51 K,$607.5 K,$58.4 K,0.01x,$11.68 M,"Jan 6, 2022"
Luna Rush,LUS,$0.00144,-0.24%,$4.85 K,$504 K,$6.55 K,0.02x,$2.53 M,"Jan 5, 2022"
Synchrony,SCY,$0.000141,-0.26%,$2.61 K,$141 K,,0.01x,$5.3 M,"Jan 5, 2022"
GenesysGo Shadow,SHDW,$0.3487,-2.04%,$1.72 K,$3.5 M,,0.2x,$52.03 M,"Jan 4, 2022"
ClearDAO,CLH,$0.000517,-1.28%,$57.43 K,$323.94 K,,0.05x,$236.6 K,"Jan 4, 2022"
Ftribe Fighters,F2C,$0.000323,-1.00%,$936.13,$322 K,$242.27 K,0.01x,$3.3 M,"Jan 4, 2022"
Ertha,ERTHA,$0.000815,0.81%,$254.21 K,$1.63 M,$1.33 M,0.05x,$6.55 M,"Jan 4, 2022"
Multichain,MULTI,$0.1502,-63.55%,$37.31 K,$43.71 M,$2.18 M,0.01x,$60 M,"Jan 4, 2022"
MeanFi,MEAN,$0.01946,-1.57%,$48.01 K,$4.08 M,,0.01x,$8.7 M,"Jan 3, 2022"
Kintsugi,KINT,$0.349,-0.79%,$5.7 K,$3.49 M,,0.01x,,"Jan 2, 2022"
