Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
Zbyte,DPLAT,$0.04895,0.07%,$3.57 K,$296.52 M,$5.93 M,0.56x,$15 M,"Jan 2, 2024"
Ordiswap,,$0.02422,-3.33%,$2.86 M,$24.21 M,,0.6x,,"Dec 28, 2023"
NFPrompt,NFP,$0.2185,4.63%,$10.9 M,$217 M,$54.62 M,3.63x,$6 M,"Dec 26, 2023"
TonUP,,$0.2918,6.90%,$1.59 M,,,0.35x,,"Dec 24, 2023"
Eclipse Fi,ECLIP,$0.03342,-0.89%,$9.88 K,$10.03 M,,0.45x,$3.16 M,"Dec 22, 2023"
Aki Protocol,AKI,$0.00902,25.48%,$345.46 K,$50 M,,0.15x,$40 M,"Dec 22, 2023"
Orders.Exchange,RDEX,$0.01625,6.59%,$23.94 K,$15.5 M,,0.1x,,"Dec 21, 2023"
Restake Finance,RSTK,$0.02134,1.02%,$1.46 K,$2.12 M,,0.06x,$3.23 M,"Dec 21, 2023"
OVAL3,OVL3,$0.0019,-9.52%,$74.51,$1.9 M,$122.94 K,0.06x,,"Dec 21, 2023"
Grapes,GRAPE,$0.00305,-4.98%,$721.66 K,$6.08 M,,0.14x,$3.39 M,"Dec 20, 2023"
analoS,,$0.000034,-2.03%,$2.97 M,$3.4 M,$2.79 M,0.35x,$1 M,"Dec 20, 2023"
Bitcoin Cats,1cat,$0.00195,1.09%,$7.04 M,$19.3 M,,5.52x,$704 K,"Dec 19, 2023"
Liquid Crypto,LQDX,$0.01101,-1.05%,$273.11,$4.4 M,,0.17x,,"Dec 19, 2023"
Script Network,SCPT,$0.01111,-2.49%,$968.75 K,$11.13 M,$1.02 M,1.18x,$885 K,"Dec 19, 2023"
Levana,LVN,$0.01902,-1.93%,$2.25 M,$19.12 M,$1.82 M,0.19x,,"Dec 19, 2023"
Rebase,IRL,$0.01919,-1.85%,$562.36 K,$9.61 M,$952.46 K,0.32x,$8.72 M,"Dec 18, 2023"
Serenity Shield,SERCH,$0.1119,-7.86%,$1.94 M,$10.98 M,$111.9 K,0.56x,,"Dec 18, 2023"
VaporWallet,VPR,$0.00275,-12.59%,$5.45 K,$2.74 M,,0.18x,$60 K,"Dec 18, 2023"
GPT Plus,GPTPLUS,$0.000228,16.71%,$93.95 K,$129.6 K,,0.14x,,"Dec 18, 2023"
Fusionist,,$2.383,9.71%,$16.1 M,$348.98 M,$80.36 M,0.16x,$6.6 M,"Dec 17, 2023"
